"SeqNum","MOSTYP","MOSHOO","MOPLHO","MSKB1","MHHUUR","MSKB2","MAUT2","MGEMOM","MINKGE","MAANTH","MSKC","MGODPR","MFWEKI","MGODRK","MSKA","MAUT1","MFALLE","MRELGE","MGEMLE","MAUT0","PPERSA","PWAPAR","PAANHA","AMOTSC","APERSA","AWAPAR","Resp"
91,20,4,1,1,4,5,0,6,1,0,3,9,2,2,8,1,0,6,0,4,0,0,0,0,0,0,0
92,19,3,0,0,0,8,5,4,0,0,0,9,0,0,4,5,0,0,0,7,6,0,0,0,0,0,0
93,14,2,1,0,4,4,3,2,0,1,4,6,0,2,7,2,0,4,0,6,0,0,0,0,0,0,0
94,37,7,2,0,2,1,1,1,0,2,5,1,0,6,9,0,2,5,0,1,5,0,0,0,0,0,0
95,9,10,2,0,5,2,2,5,0,0,4,3,0,2,7,2,1,3,0,5,6,0,0,0,0,0,0
96,22,4,0,0,4,5,0,4,1,2,3,6,2,1,5,4,0,0,0,6,0,3,0,0,1,0,0
97,9,10,0,0,4,3,0,0,0,0,9,3,0,0,9,0,3,4,0,5,6,0,0,0,0,0,0
98,20,4,1,1,1,4,5,4,0,0,0,0,1,1,4,5,0,5,0,4,0,0,0,0,0,0,1
99,6,9,2,0,4,3,1,5,0,0,4,7,3,2,5,4,2,5,0,3,0,0,0,0,0,0,1
100,35,6,1,3,3,2,1,4,0,0,4,1,0,2,6,3,5,3,0,2,0,0,0,0,0,0,0
101,3,9,0,0,2,7,1,1,0,0,5,6,1,2,7,2,3,5,0,3,5,0,0,0,0,0,0
102,12,2,2,0,4,5,3,6,0,0,0,9,3,0,3,6,0,6,0,8,0,0,0,0,0,0,0
103,3,9,1,0,2,7,2,3,1,0,4,9,2,0,6,3,0,6,0,3,0,0,0,0,0,0,0
104,22,4,4,0,2,3,2,3,0,0,0,9,2,4,5,4,3,5,0,6,5,0,0,0,0,0,0
105,7,9,1,1,3,6,4,2,0,1,3,7,2,0,5,4,2,2,0,4,6,0,0,0,0,0,0
106,35,6,1,1,0,6,0,0,0,0,4,0,1,3,8,1,5,4,0,2,6,0,0,0,0,0,0
107,13,2,1,1,4,4,5,4,5,4,0,5,2,1,5,4,0,0,0,6,5,0,0,0,0,0,0
108,34,6,0,0,2,4,3,5,1,0,2,3,1,1,2,7,2,3,0,4,0,0,0,0,0,0,0
109,7,9,2,2,4,2,0,5,0,0,4,2,0,2,9,0,4,5,0,4,6,0,0,0,0,0,0
110,6,9,2,1,0,9,0,0,0,0,5,0,2,2,7,2,0,4,0,3,6,0,0,0,0,0,0
111,19,3,1,1,2,7,4,4,1,0,2,8,0,1,6,3,1,3,1,7,0,0,0,0,0,0,0
112,34,6,0,6,5,2,0,5,0,0,4,0,3,3,9,0,5,2,0,3,0,0,2,0,0,0,0
113,3,9,0,2,5,4,0,3,0,0,5,9,4,2,6,3,2,5,0,3,6,0,0,0,0,0,0
114,4,9,2,0,3,5,4,5,1,0,0,1,3,0,0,9,0,4,1,6,6,0,0,0,0,0,0
115,3,9,1,0,4,4,0,4,0,0,4,9,1,2,6,3,0,5,0,3,0,0,0,0,0,0,0
116,33,6,3,2,4,2,3,2,0,0,4,1,2,6,8,1,7,2,0,3,6,0,0,0,0,0,0
117,4,9,2,1,3,4,3,1,0,0,5,7,0,2,8,1,2,5,0,6,6,0,0,0,0,0,0
118,3,9,2,0,3,4,0,4,0,0,7,1,0,4,9,0,0,0,0,3,0,0,0,0,0,0,0
119,19,3,2,2,6,3,6,3,0,0,3,9,1,2,7,2,0,0,0,7,0,0,0,0,0,0,0
120,3,9,0,0,3,4,0,3,0,2,7,5,2,4,7,2,6,2,0,3,6,0,0,0,0,0,0
121,7,9,0,2,6,3,0,2,0,0,7,3,1,2,7,2,5,3,0,5,0,0,0,0,0,0,0
122,5,9,2,1,0,9,0,0,0,0,5,0,2,2,7,2,0,4,0,5,6,0,0,0,0,0,0
123,4,9,0,2,4,5,0,2,2,0,5,7,4,0,9,0,0,5,0,6,0,0,0,0,0,0,0
124,20,4,1,1,3,5,0,3,0,0,5,1,1,2,9,0,1,5,0,4,6,0,0,0,0,0,0
125,21,4,0,0,3,6,5,2,0,0,2,9,0,3,9,0,0,4,0,8,6,0,0,0,0,0,0
126,41,8,0,0,2,2,1,1,0,0,6,0,0,4,9,0,6,3,0,2,6,0,0,0,0,0,0
127,6,9,2,1,5,1,1,5,1,0,2,4,1,1,5,4,3,3,0,3,6,0,0,0,0,0,0
128,14,2,4,0,4,3,7,2,0,0,0,9,4,0,3,6,0,3,0,6,6,0,0,0,0,0,1
129,36,7,1,2,3,3,2,3,1,0,3,2,1,3,8,1,5,3,0,1,6,0,0,0,0,0,0
130,34,6,1,2,3,2,2,6,0,0,4,1,0,4,8,1,6,2,1,3,6,0,0,0,0,0,0
131,19,3,2,2,2,7,4,4,0,0,2,9,0,0,4,5,1,2,0,7,0,0,0,0,0,0,0
132,7,9,2,2,6,1,1,3,1,0,3,5,1,2,6,3,3,4,0,4,6,0,0,0,0,0,0
133,8,10,2,1,2,4,1,2,0,0,5,1,1,5,8,1,5,4,0,4,5,0,0,0,0,0,0
134,19,3,2,0,4,5,2,4,0,0,4,7,2,0,6,3,5,2,0,7,0,0,0,0,0,0,0
135,18,3,0,4,4,5,3,6,0,0,0,9,3,0,6,3,0,3,0,6,0,0,0,0,0,0,0
136,40,8,0,2,2,3,1,4,0,0,3,6,1,3,7,2,3,2,1,3,0,0,0,0,0,0,0
137,3,9,2,1,4,4,1,2,1,1,5,7,4,2,7,2,3,3,1,3,6,0,0,0,0,0,0
138,3,9,0,0,2,5,1,3,0,2,5,7,1,3,7,2,3,3,0,3,0,0,0,0,0,0,0
139,12,2,0,1,5,4,4,1,0,2,3,9,3,0,3,6,3,3,0,8,0,0,0,0,0,0,0
140,24,4,0,4,6,3,6,2,0,0,2,9,2,0,2,7,0,3,1,6,0,0,0,0,0,0,0
141,37,7,1,0,3,1,1,6,0,0,4,1,1,4,5,4,3,3,1,1,0,0,0,0,0,0,0
142,24,4,1,2,3,5,4,4,1,1,2,8,3,1,5,4,2,4,0,6,6,0,0,0,0,0,0
143,4,9,0,0,3,6,1,6,0,0,4,9,1,2,5,4,0,1,0,6,0,0,0,0,0,0,0
144,8,10,2,1,0,7,1,8,0,0,3,7,1,2,6,3,4,2,0,4,0,0,0,0,0,0,0
145,3,9,3,0,1,8,0,1,1,0,5,0,2,3,7,2,1,6,0,3,5,0,0,0,0,0,0
146,3,9,0,0,1,8,0,1,0,0,7,0,2,0,9,0,3,6,0,3,0,0,0,0,0,0,0
147,1,8,3,0,0,7,0,3,0,0,7,0,0,2,9,0,2,5,0,1,0,0,0,0,0,0,0
148,19,3,4,0,3,6,5,3,0,0,2,9,4,0,2,7,0,2,3,7,0,0,0,0,0,0,0
149,10,1,5,0,1,8,0,6,0,6,0,9,3,0,9,0,1,6,0,3,0,0,0,0,0,0,0
150,19,3,2,1,3,5,3,4,0,0,2,8,0,1,6,3,0,5,0,7,6,0,0,0,0,0,1
151,19,3,1,1,3,6,3,5,1,0,2,8,0,2,5,4,1,3,1,7,0,0,0,0,0,0,1
152,14,2,0,0,6,2,3,5,1,0,2,3,2,0,3,6,2,4,0,6,0,0,0,0,0,0,0
153,8,10,3,1,2,7,0,3,0,0,7,0,0,2,7,2,6,3,0,4,0,0,0,0,0,0,0
154,23,4,0,2,2,7,1,7,0,0,2,5,2,0,6,3,4,5,0,7,6,0,0,0,0,0,0
155,21,4,1,1,2,7,3,5,0,0,2,8,0,0,5,4,2,4,0,8,0,0,0,0,0,0,0
157,21,4,1,1,1,8,1,5,0,0,3,8,0,0,5,4,3,2,0,8,6,0,0,0,0,0,0
158,5,9,1,0,4,5,1,2,0,2,4,7,1,2,7,2,1,4,0,5,0,0,0,0,0,0,0
159,2,8,2,0,4,2,0,2,0,0,3,0,0,2,9,0,8,1,0,1,5,0,0,0,0,0,0
160,9,10,1,0,5,4,1,4,0,0,4,4,2,3,6,3,2,4,0,5,5,0,0,0,0,0,0
162,20,4,2,1,5,4,2,1,0,0,7,0,2,2,7,2,2,3,0,4,7,0,0,0,0,0,0
163,1,8,0,1,1,6,0,1,0,1,3,3,0,3,9,0,3,6,0,1,5,0,0,0,0,0,0
166,9,10,1,1,2,4,0,1,0,0,2,1,2,4,7,2,7,2,0,5,5,0,0,0,0,0,0
167,8,10,1,1,4,3,1,2,0,0,3,7,2,1,5,4,2,5,0,3,0,0,0,0,0,0,0
168,7,9,0,1,5,2,2,4,0,1,3,7,0,5,7,2,4,2,2,5,5,0,0,0,0,0,0
169,5,9,1,2,4,5,0,4,0,0,5,4,2,2,8,1,0,0,0,5,0,0,0,0,0,0,0
170,20,4,1,1,2,7,1,3,0,0,5,1,1,1,9,0,2,3,0,4,5,0,0,0,0,0,0
172,22,4,4,0,2,3,2,3,0,0,0,9,2,4,5,4,3,5,0,6,6,0,0,0,0,0,0
173,11,1,2,1,6,3,2,0,2,3,3,8,0,1,5,4,2,4,0,4,6,0,0,0,0,0,0
174,3,9,1,0,3,6,1,2,0,1,6,8,0,1,8,1,0,2,0,3,0,0,0,0,0,0,0
175,4,9,1,1,4,5,0,4,0,0,4,5,1,0,9,0,2,5,0,6,0,0,0,0,0,0,1
176,40,8,0,0,3,6,1,1,0,0,5,8,2,2,7,2,0,7,0,3,6,0,0,0,0,0,0
177,20,4,3,1,2,5,4,3,0,0,3,0,1,4,4,5,1,3,1,4,0,0,0,0,0,0,0
178,19,3,1,0,4,5,3,6,0,0,2,9,2,0,2,7,0,1,1,7,0,3,0,0,1,0,0
179,3,9,2,1,1,8,1,1,0,0,6,1,1,2,8,1,4,4,1,3,6,0,0,0,0,0,0
180,11,1,0,1,3,5,1,4,1,3,4,7,4,0,6,3,3,4,0,4,6,0,0,0,0,0,1
181,21,4,2,0,3,6,3,4,0,0,3,9,2,2,5,4,0,3,0,8,0,0,0,0,0,0,0
182,20,4,0,2,2,5,0,5,0,2,3,4,2,0,5,4,2,5,0,4,0,0,0,0,0,0,0
183,21,4,0,0,3,6,0,4,0,0,5,6,1,1,5,4,2,7,0,8,6,0,0,0,0,0,0
184,14,2,0,0,5,4,0,9,0,0,3,4,2,0,7,2,0,9,0,6,6,0,0,0,0,0,0
185,3,9,2,1,4,4,1,2,1,1,5,7,4,2,7,2,3,3,1,3,6,0,0,0,0,0,0
186,36,7,1,0,1,1,1,4,1,2,3,1,1,8,6,3,5,3,0,1,0,0,0,0,0,0,0
187,8,10,3,0,0,7,0,6,0,0,3,5,0,0,7,2,0,7,0,4,0,0,0,0,0,0,0
188,8,10,1,1,4,4,2,3,0,2,3,6,2,1,5,4,3,2,0,3,6,0,0,0,0,0,0
189,11,1,1,1,4,4,2,4,1,2,3,5,2,1,5,4,3,3,1,4,0,0,0,0,0,0,0
190,24,4,2,1,3,5,3,5,1,1,2,3,1,2,6,3,1,3,0,6,0,0,0,0,0,0,0
191,3,9,2,0,4,3,3,4,0,0,2,7,0,2,7,2,1,3,0,3,0,0,0,0,0,0,0
192,3,9,4,0,1,8,0,4,0,0,4,0,3,2,7,2,0,3,0,3,6,0,0,0,0,0,0
193,1,8,0,0,6,3,0,0,0,0,7,0,2,0,9,0,5,4,0,1,6,0,0,1,0,0,0
194,13,2,1,1,3,4,2,2,1,1,5,5,1,2,7,2,3,5,0,6,6,0,0,0,0,0,0
195,6,9,0,0,4,5,0,0,0,0,9,0,0,2,9,0,3,4,0,3,6,0,0,0,0,0,1
196,9,10,1,1,5,4,0,5,0,0,9,9,1,3,7,2,3,4,0,5,6,0,0,0,0,0,0
197,20,4,0,0,4,3,0,7,0,0,2,0,0,0,9,0,4,5,0,4,0,0,0,0,0,0,0
198,9,10,1,1,3,6,0,3,0,0,9,4,0,0,5,4,0,9,0,5,0,0,0,0,0,0,0
199,5,9,2,1,3,4,3,1,0,0,5,7,0,2,8,1,2,5,0,5,0,0,0,0,0,0,0
200,3,9,0,0,6,3,0,5,0,0,4,6,0,2,6,3,2,4,0,3,5,0,0,0,0,0,0
201,33,6,1,2,4,4,2,2,0,0,5,1,1,2,7,2,2,6,0,2,0,3,0,0,1,0,0
203,21,4,1,0,5,4,3,5,0,0,2,9,2,0,2,7,0,2,1,8,6,0,0,0,0,0,0
206,20,4,1,1,5,4,0,8,1,0,4,9,2,2,8,1,0,8,0,4,0,0,0,0,0,0,0
208,22,4,1,1,4,2,0,4,1,2,3,7,1,4,7,2,5,3,0,6,0,0,0,0,0,0,0
209,3,9,0,0,1,6,0,1,2,1,7,6,2,3,8,1,8,1,0,3,0,4,0,0,1,0,0
210,20,4,0,2,4,4,2,5,0,0,2,0,3,3,7,2,2,2,0,4,6,0,0,0,0,0,0
211,33,6,1,2,5,1,2,6,0,0,2,0,1,3,5,4,3,2,0,2,6,0,0,0,0,0,0
212,8,10,0,0,4,5,0,0,0,0,6,4,3,3,9,0,4,5,0,3,6,0,0,0,0,0,0
213,7,9,0,2,5,4,2,4,0,0,3,7,2,0,6,3,2,4,0,4,5,0,0,0,0,0,0
214,6,9,2,1,2,7,0,2,0,0,3,0,1,3,7,2,3,3,0,3,6,0,0,0,0,0,0
216,10,1,0,0,2,5,0,5,0,5,1,9,3,3,2,7,2,5,0,3,6,0,0,1,0,0,0
217,3,9,0,0,3,3,0,3,0,0,6,9,3,4,9,0,4,0,0,3,0,0,0,0,0,0,0
218,21,4,1,1,1,8,1,5,0,0,3,8,0,0,5,4,3,2,0,8,0,0,0,0,0,0,0
219,24,4,1,0,4,5,0,5,0,0,4,9,2,2,5,4,0,3,0,6,0,3,0,0,1,0,0
220,5,9,1,1,4,4,2,3,0,2,3,6,2,1,5,4,3,2,0,5,0,0,0,0,0,0,0
221,1,8,2,0,6,3,0,3,0,0,6,2,0,2,7,2,1,8,0,1,6,0,0,0,0,0,0
222,33,6,2,4,4,1,1,6,0,0,3,0,2,4,6,3,3,4,0,2,0,0,0,0,0,0,0
223,3,9,1,0,3,5,1,2,0,1,5,7,0,2,7,2,0,4,0,3,6,0,0,0,0,0,0
224,40,8,1,1,3,4,0,5,1,1,3,5,2,4,7,2,6,3,0,3,0,0,0,0,0,0,0
225,35,6,1,1,4,3,1,4,0,0,5,6,1,4,8,1,4,3,0,2,0,0,0,0,0,0,0
226,7,9,1,1,6,2,2,2,0,2,3,6,0,5,7,2,2,3,2,4,0,0,0,0,0,0,0
227,21,4,0,0,3,5,5,2,0,0,2,9,0,0,3,6,2,0,0,8,6,0,0,0,0,0,1
228,22,4,1,2,2,3,1,3,0,1,3,2,0,3,8,1,5,4,0,6,6,0,0,0,0,0,0
229,7,9,1,1,4,3,1,3,0,1,4,5,0,5,7,2,5,2,1,4,0,3,0,0,1,0,0
230,6,9,2,1,5,1,1,5,1,0,2,4,1,1,5,4,3,3,0,3,0,0,0,0,0,0,0
231,15,2,1,1,4,3,3,3,1,1,3,6,1,3,7,2,3,2,0,6,0,0,0,0,0,0,0
232,19,3,0,0,4,5,2,4,0,0,3,5,4,0,4,5,0,4,0,7,6,0,0,0,0,0,0
233,6,9,0,0,1,7,1,5,1,0,4,4,2,1,2,7,2,3,1,3,6,0,0,0,0,0,0
234,1,8,0,0,0,9,0,0,0,2,6,0,2,4,7,2,9,0,0,1,0,0,0,0,0,0,0
235,8,10,0,2,2,5,0,2,0,0,9,7,0,0,7,2,0,9,0,4,0,0,0,0,0,0,1
236,19,3,0,0,4,4,4,3,0,0,2,9,3,2,5,4,1,4,0,7,6,0,0,1,0,0,1
237,1,8,3,3,4,5,0,0,0,0,9,4,3,3,9,0,0,5,0,1,0,2,0,0,1,0,0
238,9,10,1,1,2,5,0,2,0,1,5,3,1,3,8,1,5,2,0,5,5,0,0,0,0,0,0
240,19,3,1,1,2,7,4,4,1,0,2,8,0,1,6,3,1,3,1,7,6,0,0,0,0,0,0
241,19,3,1,1,3,4,3,4,1,0,2,6,2,2,6,3,2,3,1,7,6,0,0,0,0,0,0
242,21,4,1,1,4,4,4,3,1,0,3,3,2,2,3,6,2,3,0,8,0,0,0,0,0,0,0
243,10,1,0,0,4,5,0,0,0,6,3,9,2,0,7,2,6,3,0,3,0,0,0,0,0,0,0
245,9,10,0,1,0,9,0,4,0,0,5,7,2,2,6,3,0,4,0,5,0,0,0,0,0,0,0
246,8,10,0,2,6,3,5,3,2,0,4,9,0,2,4,5,0,0,0,4,6,0,0,0,0,0,0
247,12,2,1,1,2,7,8,1,0,0,1,9,2,1,5,4,0,1,1,8,6,0,0,0,0,0,1
248,3,9,0,0,4,5,0,0,0,0,9,0,0,2,9,0,3,4,0,3,0,3,0,0,1,0,0
249,3,9,0,2,5,4,0,3,0,0,5,9,4,2,6,3,2,5,0,3,0,0,0,0,0,0,1
250,8,10,1,1,2,7,2,0,0,0,2,3,2,1,5,4,7,2,0,3,6,0,0,0,0,0,0
251,9,10,1,1,2,5,1,3,1,1,5,4,2,2,7,2,4,4,1,5,0,0,0,0,0,0,0
253,27,5,0,3,6,1,6,1,0,0,2,2,0,2,4,5,4,5,0,1,0,0,0,0,0,0,0
254,8,10,2,0,1,8,3,2,0,0,3,5,2,0,7,2,4,4,0,4,6,0,0,0,0,0,1
255,6,9,2,0,4,3,0,3,0,0,5,5,2,1,9,0,1,7,0,3,6,0,0,0,0,0,0
256,9,10,0,0,3,6,0,3,0,0,6,9,2,2,6,3,3,4,0,5,6,0,0,0,0,0,0
257,34,6,1,1,2,1,1,7,0,0,4,1,1,6,8,1,6,3,0,3,5,0,0,0,0,0,0
258,2,8,1,0,3,3,0,1,0,0,5,0,0,2,9,0,6,2,0,1,6,0,0,0,0,0,0
259,7,9,0,1,5,2,2,4,0,1,3,7,0,5,7,2,4,2,2,5,0,0,0,0,0,0,0
260,3,9,2,1,3,4,1,3,1,1,4,5,2,2,7,2,1,4,0,3,0,0,0,0,0,0,0
261,22,4,0,2,5,2,2,4,0,3,4,7,2,0,6,3,5,0,0,6,0,0,0,0,0,0,0
262,21,4,2,0,5,4,3,5,0,0,2,9,4,0,0,9,0,3,0,8,0,0,0,0,0,0,0
